"No.","Time","Source","Destination","Protocol","Length","Info"
"11","1677862083.360132000","52.21.119.163:443","192.168.100.23:12070","TCP","54","Layer FRAME:
	Interface id: 0 (\Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4})
	Interface name: \Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4}
	Interface description: Wi-Fi
	Encapsulation type: Ethernet (1)
	Arrival Time: Mar  3, 2023 23:48:03.360132000 SE Asia Standard Time
	Time shift for this packet: 0.000000000 seconds
	Epoch Time: 1677862083.360132000 seconds
	Time delta from previous captured frame: 0.246678000 seconds
	Time delta from previous displayed frame: 0.246678000 seconds
	Time since reference or first frame: 5.425881000 seconds
	Frame Number: 15
	Frame Length: 54 bytes (432 bits)
	Capture Length: 54 bytes (432 bits)
	Frame is marked: False
	Frame is ignored: False
	Protocols in frame: eth:ethertype:ip:tcp
"
"12","1677862083.363917000","52.21.119.163:443","192.168.100.23:12070","TCP","1466","Layer FRAME:
	Interface id: 0 (\Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4})
	Interface name: \Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4}
	Interface description: Wi-Fi
	Encapsulation type: Ethernet (1)
	Arrival Time: Mar  3, 2023 23:48:03.363917000 SE Asia Standard Time
	Time shift for this packet: 0.000000000 seconds
	Epoch Time: 1677862083.363917000 seconds
	Time delta from previous captured frame: 0.003785000 seconds
	Time delta from previous displayed frame: 0.003785000 seconds
	Time since reference or first frame: 5.429666000 seconds
	Frame Number: 16
	Frame Length: 1466 bytes (11728 bits)
	Capture Length: 1466 bytes (11728 bits)
	Frame is marked: False
	Frame is ignored: False
	Protocols in frame: eth:ethertype:ip:tcp:tls
"
"13","1677862083.366452000","52.21.119.163:443","192.168.100.23:12070","TCP","1466","Layer FRAME:
	Interface id: 0 (\Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4})
	Interface name: \Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4}
	Interface description: Wi-Fi
	Encapsulation type: Ethernet (1)
	Arrival Time: Mar  3, 2023 23:48:03.366452000 SE Asia Standard Time
	Time shift for this packet: 0.000000000 seconds
	Epoch Time: 1677862083.366452000 seconds
	Time delta from previous captured frame: 0.002535000 seconds
	Time delta from previous displayed frame: 0.002535000 seconds
	Time since reference or first frame: 5.432201000 seconds
	Frame Number: 17
	Frame Length: 1466 bytes (11728 bits)
	Capture Length: 1466 bytes (11728 bits)
	Frame is marked: False
	Frame is ignored: False
	Protocols in frame: eth:ethertype:ip:tcp
"
"14","1677862083.366583000","192.168.100.23:12070","52.21.119.163:443","TCP","54","Layer FRAME:
	Interface id: 0 (\Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4})
	Interface name: \Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4}
	Interface description: Wi-Fi
	Encapsulation type: Ethernet (1)
	Arrival Time: Mar  3, 2023 23:48:03.366583000 SE Asia Standard Time
	Time shift for this packet: 0.000000000 seconds
	Epoch Time: 1677862083.366583000 seconds
	Time delta from previous captured frame: 0.000131000 seconds
	Time delta from previous displayed frame: 0.000131000 seconds
	Time since reference or first frame: 5.432332000 seconds
	Frame Number: 18
	Frame Length: 54 bytes (432 bits)
	Capture Length: 54 bytes (432 bits)
	Frame is marked: False
	Frame is ignored: False
	Protocols in frame: eth:ethertype:ip:tcp
"
"15","1677862083.367143000","52.21.119.163:443","192.168.100.23:12070","TCP","1466","Layer FRAME:
	Interface id: 0 (\Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4})
	Interface name: \Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4}
	Interface description: Wi-Fi
	Encapsulation type: Ethernet (1)
	Arrival Time: Mar  3, 2023 23:48:03.367143000 SE Asia Standard Time
	Time shift for this packet: 0.000000000 seconds
	Epoch Time: 1677862083.367143000 seconds
	Time delta from previous captured frame: 0.000560000 seconds
	Time delta from previous displayed frame: 0.000560000 seconds
	Time since reference or first frame: 5.432892000 seconds
	Frame Number: 19
	Frame Length: 1466 bytes (11728 bits)
	Capture Length: 1466 bytes (11728 bits)
	Frame is marked: False
	Frame is ignored: False
	Protocols in frame: eth:ethertype:ip:tcp:tls:tls
"
"16","1677862083.367143000","52.21.119.163:443","192.168.100.23:12070","TCP","535","Layer FRAME:
	Interface id: 0 (\Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4})
	Interface name: \Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4}
	Interface description: Wi-Fi
	Encapsulation type: Ethernet (1)
	Arrival Time: Mar  3, 2023 23:48:03.367143000 SE Asia Standard Time
	Time shift for this packet: 0.000000000 seconds
	Epoch Time: 1677862083.367143000 seconds
	Time delta from previous captured frame: 0.000000000 seconds
	Time delta from previous displayed frame: 0.000000000 seconds
	Time since reference or first frame: 5.432892000 seconds
	Frame Number: 20
	Frame Length: 535 bytes (4280 bits)
	Capture Length: 535 bytes (4280 bits)
	Frame is marked: False
	Frame is ignored: False
	Protocols in frame: eth:ethertype:ip:tcp:tls:tls
"
"17","1677862083.367269000","192.168.100.23:12070","52.21.119.163:443","TCP","54","Layer FRAME:
	Interface id: 0 (\Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4})
	Interface name: \Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4}
	Interface description: Wi-Fi
	Encapsulation type: Ethernet (1)
	Arrival Time: Mar  3, 2023 23:48:03.367269000 SE Asia Standard Time
	Time shift for this packet: 0.000000000 seconds
	Epoch Time: 1677862083.367269000 seconds
	Time delta from previous captured frame: 0.000126000 seconds
	Time delta from previous displayed frame: 0.000126000 seconds
	Time since reference or first frame: 5.433018000 seconds
	Frame Number: 21
	Frame Length: 54 bytes (432 bits)
	Capture Length: 54 bytes (432 bits)
	Frame is marked: False
	Frame is ignored: False
	Protocols in frame: eth:ethertype:ip:tcp
"
"18","1677862083.378232000","192.168.100.23:12070","52.21.119.163:443","TCP","717","Layer FRAME:
	Interface id: 0 (\Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4})
	Interface name: \Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4}
	Interface description: Wi-Fi
	Encapsulation type: Ethernet (1)
	Arrival Time: Mar  3, 2023 23:48:03.378232000 SE Asia Standard Time
	Time shift for this packet: 0.000000000 seconds
	Epoch Time: 1677862083.378232000 seconds
	Time delta from previous captured frame: 0.010963000 seconds
	Time delta from previous displayed frame: 0.010963000 seconds
	Time since reference or first frame: 5.443981000 seconds
	Frame Number: 22
	Frame Length: 717 bytes (5736 bits)
	Capture Length: 717 bytes (5736 bits)
	Frame is marked: False
	Frame is ignored: False
	Protocols in frame: eth:ethertype:ip:tcp:tls
"
"19","1677862083.617304000","52.21.119.163:443","192.168.100.23:12070","TCP","335","Layer FRAME:
	Interface id: 0 (\Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4})
	Interface name: \Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4}
	Interface description: Wi-Fi
	Encapsulation type: Ethernet (1)
	Arrival Time: Mar  3, 2023 23:48:03.617304000 SE Asia Standard Time
	Time shift for this packet: 0.000000000 seconds
	Epoch Time: 1677862083.617304000 seconds
	Time delta from previous captured frame: 0.239072000 seconds
	Time delta from previous displayed frame: 0.239072000 seconds
	Time since reference or first frame: 5.683053000 seconds
	Frame Number: 23
	Frame Length: 335 bytes (2680 bits)
	Capture Length: 335 bytes (2680 bits)
	Frame is marked: False
	Frame is ignored: False
	Protocols in frame: eth:ethertype:ip:tcp:tls
"
"20","1677862083.617818000","52.21.119.163:443","192.168.100.23:12070","TCP","54","Layer FRAME:
	Interface id: 0 (\Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4})
	Interface name: \Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4}
	Interface description: Wi-Fi
	Encapsulation type: Ethernet (1)
	Arrival Time: Mar  3, 2023 23:48:03.617818000 SE Asia Standard Time
	Time shift for this packet: 0.000000000 seconds
	Epoch Time: 1677862083.617818000 seconds
	Time delta from previous captured frame: 0.000514000 seconds
	Time delta from previous displayed frame: 0.000514000 seconds
	Time since reference or first frame: 5.683567000 seconds
	Frame Number: 24
	Frame Length: 54 bytes (432 bits)
	Capture Length: 54 bytes (432 bits)
	Frame is marked: False
	Frame is ignored: False
	Protocols in frame: eth:ethertype:ip:tcp
"
"21","1677862083.617869000","192.168.100.23:12070","52.21.119.163:443","TCP","54","Layer FRAME:
	Interface id: 0 (\Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4})
	Interface name: \Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4}
	Interface description: Wi-Fi
	Encapsulation type: Ethernet (1)
	Arrival Time: Mar  3, 2023 23:48:03.617869000 SE Asia Standard Time
	Time shift for this packet: 0.000000000 seconds
	Epoch Time: 1677862083.617869000 seconds
	Time delta from previous captured frame: 0.000051000 seconds
	Time delta from previous displayed frame: 0.000051000 seconds
	Time since reference or first frame: 5.683618000 seconds
	Frame Number: 25
	Frame Length: 54 bytes (432 bits)
	Capture Length: 54 bytes (432 bits)
	Frame is marked: False
	Frame is ignored: False
	Protocols in frame: eth:ethertype:ip:tcp
"
"22","1677862083.622330000","192.168.100.23:12070","52.21.119.163:443","TCP","78","Layer FRAME:
	Interface id: 0 (\Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4})
	Interface name: \Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4}
	Interface description: Wi-Fi
	Encapsulation type: Ethernet (1)
	Arrival Time: Mar  3, 2023 23:48:03.622330000 SE Asia Standard Time
	Time shift for this packet: 0.000000000 seconds
	Epoch Time: 1677862083.622330000 seconds
	Time delta from previous captured frame: 0.004461000 seconds
	Time delta from previous displayed frame: 0.004461000 seconds
	Time since reference or first frame: 5.688079000 seconds
	Frame Number: 26
	Frame Length: 78 bytes (624 bits)
	Capture Length: 78 bytes (624 bits)
	Frame is marked: False
	Frame is ignored: False
	Protocols in frame: eth:ethertype:ip:tcp:tls
"
"23","1677862083.804758000","192.168.100.23:12070","52.21.119.163:443","TCP","54","Layer FRAME:
	Interface id: 0 (\Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4})
	Interface name: \Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4}
	Interface description: Wi-Fi
	Encapsulation type: Ethernet (1)
	Arrival Time: Mar  3, 2023 23:48:03.804758000 SE Asia Standard Time
	Time shift for this packet: 0.000000000 seconds
	Epoch Time: 1677862083.804758000 seconds
	Time delta from previous captured frame: 0.182428000 seconds
	Time delta from previous displayed frame: 0.182428000 seconds
	Time since reference or first frame: 5.870507000 seconds
	Frame Number: 27
	Frame Length: 54 bytes (432 bits)
	Capture Length: 54 bytes (432 bits)
	Frame is marked: False
	Frame is ignored: False
	Protocols in frame: eth:ethertype:ip:tcp
"
